CL	Mature
67	0
73	0
74	0
78	0
79	0
80	1
81	0
82	0
85	0
87	0
88	1
89	0
90	0
91	0
92	0
93	0
94	0
94	1
95	0
95	0
95	0
95	1
96	0
96	1
96	1
96	1
96	1
97	0
97	1
97	0
97	0
98	1
98	0
99	0
99	1  
99	1
99	1
100	0
100	1
101	1
102	1
103	0
103	1
103	1
103	1
104	1
105	1
106	1
107	1
107	1
107	1
107	1
107	0
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
161	1
164	1
165	1
166	1
169	1
178	1
